"municipio_id","mpioresidencia","unique_people"
"44001","44001 - Riohacha",755
"44035","44035 - Albania",12
"44078","44078 - Barrancas",11
"44090","44090 - Dibulla",28
"44110","44110 - El Molino",8
"44279","44279 - Fonseca",11
"44378","44378 - Hatonuevo",8
"44430","44430 - Maicao",33
"44560","44560 - Manaure",3
"44650","44650 - San Juan Del Cesar",105
"44847","44847 - Uribia",2
"44855","44855 - Urumita",3
"44874","44874 - Villanueva",40
"47001","47001 - Santa Marta",767
"47030","47030 - Algarrobo",20
"47053","47053 - Aracataca",144
"47058","47058 - Ariguaní",27
"47161","47161 - Cerro San Antonio",2
"47170","47170 - Chibolo",18
"47189","47189 - Ciénaga",72
"47205","47205 - Concordia",1
"47245","47245 - El Banco",7
"47258","47258 - El Piñon",9
"47268","47268 - El Retén",106
"47288","47288 - Fundación",244
"47318","47318 - Guamal",3
"47460","47460 - Nueva Granada",17
"47541","47541 - Pedraza",2
"47545","47545 - Pijiño Del Carmen",2
"47551","47551 - Pivijay",35
"47555","47555 - Plato",523
"47570","47570 - Puebloviejo",2
"47605","47605 - Remolino",26
"47660","47660 - Sabanas De San Angel",9
"47675","47675 - Salamina",7
"47692","47692 - San Sebastián De Buenavista",22
"47707","47707 - Santa Ana",5
"47720","47720 - Santa Bárbara De Pinto",16
"47745","47745 - Sitionuevo",74
"47798","47798 - Tenerife",10
"47960","47960 - Zapayán",44
"47980","47980 - Zona Bananera",353
"50001","50001 - Villavicencio",635
"50006","50006 - Acacías",102
"50110","50110 - Barranca De Upía",3
"50124","50124 - Cabuyaro",4
"50150","50150 - Castilla La Nueva",3
"50223","50223 - Cubarral",7
"50226","50226 - Cumaral",22
"50251","50251 - El Castillo",8
"50270","50270 - El Dorado",6
"50287","50287 - Fuente De Oro",16
"50313","50313 - Granada",49
"50318","50318 - Guamal",9
"50325","50325 - Mapiripán",1
"50330","50330 - Mesetas",9
"50350","50350 - La Macarena",4
"50370","50370 - Uribe",6
"50400","50400 - Lejanías",14
"50450","50450 - Puerto Concordia",1
"50568","50568 - Puerto Gaitán",26
"50573","50573 - Puerto López",15
"50577","50577 - Puerto Lleras",7
"50590","50590 - Puerto Rico",27
"50606","50606 - Restrepo",7
"50680","50680 - San Carlos De Guaroa",8
"50683","50683 - San Juan De Arama",3
"50686","50686 - San Juanito",5
"50689","50689 - San Martín",12
"50711","50711 - Vistahermosa",18
"52001","52001 - Pasto",593
"52019","52019 - Albán",4
"52036","52036 - Ancuyá",1
"52051","52051 - Arboleda",2
"52079","52079 - Barbacoas",5
"52083","52083 - Belén",5
"52110","52110 - Buesaco",12
"52203","52203 - Colón",3
"52207","52207 - Consaca",4
"52210","52210 - Contadero",1
"52215","52215 - Córdoba",9
"52224","52224 - Cuaspud",2
"52227","52227 - Cumbal",7
"52233","52233 - Cumbitara",47
"52240","52240 - Chachagüí",12
"52250","52250 - El Charco",16
"52254","52254 - El Peñol",3
"52256","52256 - El Rosario",10
"52258","52258 - El Tablón De Gómez",18
"52260","52260 - El Tambo",8
"52287","52287 - Funes",2
"52317","52317 - Guachucal",1
"52323","52323 - Gualmatán",1
"52356","52356 - Ipiales",37
"52378","52378 - La Cruz",9
"52381","52381 - La Florida",5
"52385","52385 - La Llanada",6
"52390","52390 - La Tola",7
"52399","52399 - La Unión",13
"52405","52405 - Leiva",2
"52411","52411 - Linares",8
"52418","52418 - Los Andes",19
"52427","52427 - Magüi",39
"52435","52435 - Mallama",4
"52473","52473 - Mosquera",10
"52480","52480 - Nariño",10
"52490","52490 - Olaya Herrera",8
"52506","52506 - Ospina",1
"52520","52520 - Francisco Pizarro",3
"52540","52540 - Policarpa",623
"52560","52560 - Potosí",3
"52565","52565 - Providencia",5
"52585","52585 - Pupiales",1
"52612","52612 - Ricaurte",8
"52621","52621 - Roberto Payán",8
"52678","52678 - Samaniego",33
"52683","52683 - Sandoná",17
"52685","52685 - San Bernardo",21
"52687","52687 - San Lorenzo",11
"52693","52693 - San Pablo",3
"52694","52694 - San Pedro De Cartago",1
"52696","52696 - Santa Bárbara",8
"52699","52699 - Santacruz",1
"52720","52720 - Sapuyes",1
"52786","52786 - Taminango",31
"52788","52788 - Tangua",1
"52835","52835 - San Andres De Tumaco",343
"52838","52838 - Túquerres",2
"54001","54001 - Cúcuta",369
"54003","54003 - Abrego",6
"54051","54051 - Arboledas",2
"54099","54099 - Bochalema",1
"54172","54172 - Chinácota",6
"54206","54206 - Convención",16
"54223","54223 - Cucutilla",1
"54239","54239 - Durania",2
"54245","54245 - El Carmen",8
"54250","54250 - El Tarra",21
"54261","54261 - El Zulia",20
"54344","54344 - Hacarí",6
"54377","54377 - Labateca",1
"54385","54385 - La Esperanza",1
"54398","54398 - La Playa",4
"54405","54405 - Los Patios",23
"54480","54480 - Mutiscua",2
"54498","54498 - Ocaña",179
"54518","54518 - Pamplona",11
"54520","54520 - Pamplonita",1
"54553","54553 - Puerto Santander",3
"54660","54660 - Salazar",3
"54670","54670 - San Calixto",110
"54673","54673 - San Cayetano",1
"54680","54680 - Santiago",5
"54720","54720 - Sardinata",14
"54800","54800 - Teorama",92
"54810","54810 - Tibú",30
"54820","54820 - Toledo",1
"54871","54871 - Villa Caro",3
"54874","54874 - Villa Del Rosario",35
"63001","63001 - Armenia",103
"63111","63111 - Buenavista",1
"63130","63130 - Calarca",29
"63190","63190 - Circasia",3
"63212","63212 - Córdoba",1
"63272","63272 - Filandia",4
"63302","63302 - Génova",2
"63401","63401 - La Tebaida",7
"63470","63470 - Montenegro",11
"63548","63548 - Pijao",1
"63594","63594 - Quimbaya",5
"63690","63690 - Salento",1
"66001","66001 - Pereira",145
"66045","66045 - Apía",4
"66075","66075 - Balboa",1
"66088","66088 - Belén De Umbría",7
"66170","66170 - Dosquebradas",47
"66318","66318 - Guática",1
"66383","66383 - La Celia",5
"66400","66400 - La Virginia",51
"66440","66440 - Marsella",8
"66456","66456 - Mistrató",5
"66572","66572 - Pueblo Rico",5
"66594","66594 - Quinchía",26
"66682","66682 - Santa Rosa De Cabal",21
"66687","66687 - Santuario",15
"68001","68001 - Bucaramanga",137
"68013","68013 - Aguada",1
"68077","68077 - Barbosa",5
"68081","68081 - Barrancabermeja",83
"68092","68092 - Betulia",1
"68101","68101 - Bolívar",1
"68162","68162 - Cerrito",1
"68167","68167 - Charalá",10
"68169","68169 - Charta",1
"68176","68176 - Chima",3
"68190","68190 - Cimitarra",21
"68207","68207 - Concepción",2
"68211","68211 - Contratación",1
"68217","68217 - Coromoro",8
"68229","68229 - Curití",1
"68235","68235 - El Carmen De Chucurí",4
"68250","68250 - El Peñón",4
"68255","68255 - El Playón",9
"68264","68264 - Encino",2
"68266","68266 - Enciso",3
"68276","68276 - Floridablanca",65
"68307","68307 - Girón",27
